x,y
34,4
15,3
78,8
14,2
138,3
13,10
23,1
27,0
14,3
8,1
42,2
72,24
75,13
59,27
23,14
190,65
90,63
18,17
84,15
125,13
167,18
118,14
68,0
112,13
181,14
189,32
174,58
128,53
76,18
31,23
195,91
41,12
107,45
51,28
31,17
88,54
79,0
92,0
87,31
76,31
27,7
169,9
77,18
58,0
89,14
167,65
143,25
235,18
95,46
71,28
93,0
196,32
185,37
206,38
361,152
155,39
162,40
126,42
216,65
133,34
98,38
127,56
310,68
298,67
435,114
402,94
107,19
92,24
130,48
149,62
392,132
214,75
357,147
286,156
572,257
281,169
321,177
425,185
247,94
271,98
251,163
323,215
179,77
264,158
187,95
194,67
510,286
424,172
410,244
335,207
235,61
128,23
102,25
341,190
516,238
487,129
256,76
570,382
482,129
364,83
